Album Name,Views,Estimated Revenue
Megan Thee Stallion Traumazine,36573189,73146
Traumazine: Megan Thee Stallion,68576997,137153
Megan Thee Stallion Traumazine,68576997,137153
Fever,188830878,377661
megan thee stallion,68576997,137153
Megan Thee Stallion,68577010,137154
Megan thee stallion trauma,68577010,137154
Megan thee stallion. 💟🎶,68577010,137154
Suga (Chopnotslop Remix) (FULL ALBUM) Megan Thee Stallion,127156,254
Megan Thee Stallion,68000532,136001
Traumazine Megan Thee Stallion,68577010,137154
Travis Scott,313820437,627640
Travis Scott,870317708,1740635
Travis Scott,1754671,3509
Travis Scott,672963912,1345927
Travis Scott,469786970,939573
Travis Scott,490882570,981765
Travis Scott,299588648,599177
Travis Scott,299741146,599482
Travis Scott,271851021,543702
Travis Scott,8549603,17099
Travis Scott,14351268,28702
Travis Scott All Albums,738311033,1476622
Travis Scott,184663426,369326
Travis Scott,1315270,2630
Days Before Rodeo,351402,702
Travi$ Scott,3966219,7932
Travis Scott,3603850285,7207700
Travis Scott,484172730,968345
DAYS BEFORE RODEO,10510202,21020
Travis  Scott album,8549603,17099
Travis Scott,299588656,599177
"Travis Scott, Quavo",6277907,12555
Birds in the Trap Sing McKnight,1330011252,2660022
Travis Scott,180965,361
UTOPIA (Travis Scott) (Full Album) (Explicit),299588656,599177
Travis Scott &#39;ASTROWORLD&#39;,2505457017,5010914
Rodeo (432Hz),465595,931
Astroworld FULL ALBUM (Clean),22202748,44405
Travis Scott,38591074,77182
"UTOPIA Album • Travis Scott • 2023 19 songs • 1 hour, 14 minutes",299588715,599177
Travis Scott,19711,39
Days Before Rodeo (Travis Scott) (Clean),105470,210
Travis Scott,440729980,881459
Days Before Rodeo Deluxe (Full Album + Every Vault Track),5743038,11486
Travis Scott,8549606,17099
TRAVIS SCOTT UTOPIA FULL ALBUM INSTRUMENTALS,22652,45
Travis scott new album‼️,5592187,11184
Travis Scott,335850422,671700
Travis Scott,672964387,1345928
Travis Scott,174301483,348602
Travis AI Album,7913293,15826
Travis Scott,28995,57
Travis Scott,362134,724
Rodeo (Travis Scott) (Clean),206557,413
Rodeo,597373,1194
Travis Scott,157145,314
UTOPIA (Travis Scott) (Clean),1280385,2560
TRAVIS SCOTT UTOPIA INSTRUMENTALS,119778,239
Travis Scott,5592188,11184
DAYS BEFORE RODEO,8549612,17099
